,Mean Expression,Log2 Fold Change,Adjusted P value,Gene Name,Function,Pathway
PMI2341,1155.09877647389,1.31975800706272,3.1219922498907397e-15,,(GenBank) autotransporter (serine protease),
PMI2764,1064.00564238689,1.3169090435261102,6.685197017531291e-09,aceB,(GenBank) malate synthase A,"pmr00620  Pyruvate metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01200  Carbon metabolism"
PMI0436,442.841436421067,1.3017396606146598,1.79822369841411e-10,gltJ,"(GenBank) glutamate/aspartate ABC transporter, permease protein","pmr02010  ABC transporters, pmr02020  Two-component system"
PMI1807,2041.2722777363101,1.2970437895470701,1.83652368259247e-08,fadJ,(GenBank) fatty acid oxidation complex alpha subunit [includes: enoyl-coa hydratase and 3-hydroxyacyl-coa dehydrogenase],"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00310  Lysine degradation, pmr00362  Benzoate degradation, pmr00380  Tryptophan metabolism, pmr00410  beta-Alanine metabolism, pmr00640  Propanoate metabolism, pmr00650  Butanoate metabolism, pmr00903  Limonene and pinene degradation, pmr00930  Caprolactam degradation, pmr01040  Biosynthesis of unsaturated fatty acids, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01212  Fatty acid metabolism"
PMI2021,23172.7235693641,1.2844125827923,4.77742396212071e-15,gcvT,(GenBank) aminomethyltransferase (glycine cleavage system T protein),"pmr00260  Glycine, serine and threonine metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr00670  One carbon pool by folate, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism"
PMI3007,1409.4023235960199,1.28377536458646,2.0477892450792e-08,,(GenBank) short chain dehydrogenase,
PMI3585,61.3065717216596,1.2789827079321698,1.70261316850865e-05,frdD,(GenBank) fumarate reductase subunit D,"pmr00020  Citrate cycle (TCA cycle), pmr00190  Oxidative phosphorylation, pmr00620  Pyruvate metabolism, pmr00650  Butanoate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr02020  Two-component system"
PMI2224,62.1853579265438,1.2678185062774399,2.02269494010082e-05,,(GenBank) fimbrial operon regulator,
PMI1349,864.2315583785921,1.2678022491770702,1.79199818134119e-06,,(GenBank) putative lipoprotein,
PMI0279,1028131.17836218,1.25253804961699,5.83625968590592e-08,zapA,(GenBank) metalloprotease,pmr01503  Cationic antimicrobial peptide (CAMP) resistance
PMI0781,807.93634792473,1.2491277137511,1.07704818252722e-05,rmf,(GenBank) ribosome modulation factor,
PMI2268,2443.63605774441,1.24471965184599,1.2083457866263699e-09,,(GenBank) short chain dehydrogenase,
PMI1625,228.567082528152,1.2163127108199199,1.87682081208213e-05,,(GenBank) hypothetical protein,
PMI2845,161.152565024259,1.21413810915837,5.05682344737863e-06,dppC,"(GenBank) dipeptide ABC transporter, permease protein",pmr02010  ABC transporters
PMI2662,5540.401415630799,1.20979004411988,2.99559169228967e-06,,(GenBank) chitin binding protein,
PMI1624,32021.0029626921,1.20801915777072,1.73500694226829e-07,,(GenBank) conserved hypothetical protein,
PMI1471,2663.9310906948003,1.20049526921826,1.08139838227255e-12,oppF,"(GenBank) oligopeptide ABC transporter, ATP-binding protein","pmr01501  beta-Lactam resistance, pmr02010  ABC transporters, pmr02024  Quorum sensing"
PMI2407,239.508345659486,1.18483723666201,2.53401235053894e-07,pgtC,"(GenBank) phosphoglycerate transport system, substrate-binding/regulatory protein",pmr02020  Two-component system
PMI1395,148.42717706512,1.1801154502221298,5.6856052211884304e-05,,(GenBank) hypothetical protein,
PMI1740,2324.49782719789,1.17487576719464,4.6114940829600704e-07,katA,(GenBank) catalase,"pmr00380  Tryptophan metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism"
PMI1808,1142.8837240597302,1.16642722998777,1.89833826020876e-08,fadI,(GenBank) 3-ketoacyl-CoA thiolase,"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00362  Benzoate degradation, pmr00592  alpha-Linolenic acid metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01212  Fatty acid metabolism"
PMI2223,534.847591182284,1.16002873473639,0.000330437235329942,pmpA,(GenBank) fimbrial subunit,
PMI1166,3534.5807178691207,1.15172191013896,1.5677035019404102e-11,fadD,(GenBank) long-chain-fatty-acid-CoA ligase,"pmr00061  Fatty acid biosynthesis, pmr00071  Fatty acid degradation, pmr01100  Metabolic pathways, pmr01212  Fatty acid metabolism, pmr02024  Quorum sensing"
PMI3386,1851.4710220458498,1.1476260170539299,6.219550733254079e-07,,(GenBank) putative exported protein,
PMI3556,8338.627138235699,1.1451366222295802,3.56725926162058e-08,,(GenBank) putative membrane protein,
PMI1409,4908.7674932427,1.14466458441699,2.4416719543010998e-05,lpp,(GenBank) major outer membrane lipoprotein (murein-lipoprotein),
PMI2220,162.17615205948601,1.1316835544295099,1.35895930441477e-05,,(GenBank) fimbrial chaperone protein,
PMI1529,5996.554655293609,1.1255008139167701,5.07281386282312e-05,,(GenBank) putative exported protein,
PMI2019,18848.2014451818,1.10558979042742,1.95943019529327e-09,gcvP,(GenBank) glycine dehydrogenase [decarboxylating] (glycine cleavage system P-protein),"pmr00260  Glycine, serine and threonine metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism"
PMI3080,92.6514842856452,1.0973833849083101,4.96923245744266e-05,,(GenBank) putative amidohydrolase/metallopeptidase,
PMI0391,543.229568440634,1.09045585105925,0.00016113224220481298,,(GenBank) putative sigma 54 modulation protein,
PMI2819,1053.8364808235199,1.07135754261124,1.42027527604022e-05,,(GenBank) OsmC-like protein,
PMI3201,287.226124935537,1.07028155939103,6.65794560992578e-06,,(GenBank) putative DNA-binding protein,
PMI2221,407.93023028030603,1.06821378516157,5.12845362749676e-07,,(GenBank) fimbrial outer membrane usher protein,
PMI1542,61.393987842685604,1.06561605806063,0.0095566168781183,,(GenBank) hypothetical protein,
PMI1007,1039.8649130689698,1.06410645981474,1.42027527604022e-05,ftnA,(GenBank) ferritin,
PMI3559,16914.7405906617,1.05213777807294,5.16546758897575e-09,,(GenBank) putative bifunctional acetyl-/propionyl-coenzyme A carboxylase alpha chain [includes: biotin carboxylase and biotin carboxyl carrier protein],"pmr00061  Fatty acid biosynthesis, pmr00280  Valine, leucine and isoleucine degradation, pmr00620  Pyruvate metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr00640  Propanoate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01212  Fatty acid metabolism"
PMI2219,15.948664385986,1.0447063358955502,0.0200200345963786,,(GenBank) putative fimbrial protein,
PMI3701,3584.428542778,1.04140491049882,2.0365037197957399e-07,,(GenBank) putative sodium:dicarboxylate symporter,
PMI0208,1920.72646869844,1.03528390282537,2.0025125927093998e-08,,(GenBank) VgrG-like protein,pmr03070  Bacterial secretion system
PMI1325,382.23687771446197,1.0316645718437099,1.49862563593076e-06,,(GenBank) putative lipoprotein,
PMI1161,538.661086352882,1.02816533483585,2.0327707333528e-06,,(GenBank) conserved hypothetical protein,
PMI1613,638.435382341543,1.02633305771841,0.00040947754668537204,,(GenBank) universal stress protein,
PMI3699,515.3928611789299,1.0227758918932601,4.0514642613114e-08,,(GenBank) putative membrane protein,
PMI3579,8422.3276350159,1.01924775410865,0.00048142310148348094,,(GenBank) conserved hypothetical protein,
PMI0024,1587.5727373793802,1.0180918115072501,6.49258158929289e-05,dkgA,"(GenBank) 2,5-diketo-D-gluconic acid reductase A",
PMI3387,864.252584781158,1.01512693116513,0.000168976145242921,,(GenBank) conserved hypothetical protein,
PMI3703,809.8719100927569,1.0129288152601499,2.42306722207792e-08,,(GenBank) putative membrane protein,
PMI1642,744.4638418053149,-1.01982606388916,0.000165449463300924,fliR,(GenBank) flagellar biosynthetic protein,pmr02040  Flagellar assembly
PMI2594,12.8509934558619,-1.02064536284277,0.0314409237644586,,(GenBank) putative conjugal transfer protein,pmr02020  Two-component system
PMI0972,105.996380469291,-1.0292726957663199,0.00607369800832828,,(GenBank) cold shock protein,
PMI3113,1567.7194176041298,-1.0442137078690301,7.76865377242285e-08,,(GenBank) conserved hypothetical protein,
PMI1427,1606.5317421013099,-1.05008634266831,9.08151366294083e-05,hmuS,(GenBank) hemin transport protein,
PMI3024,11.599643158715699,-1.05050709226554,0.0220904489987685,,(GenBank) putative membrane protein,
PMI0029,4820.96434692572,-1.0551229136447702,1.0263428557649e-05,exbB,(GenBank) biopolymer transport protein,
PMI3131,869.778461967673,-1.07410516580504,0.0212983375255396,rpmH,(GenBank) 50s ribosomal protein l34,pmr03010  Ribosome
PMI1416,4135.26694928106,-1.08133525826424,1.97995873905692e-09,sufA,(GenBank) putative scaffold protein for iron-sulfur cluster assembly,
PMI3114,4660.71475720497,-1.09667225268869,1.2807050915889098e-10,,(GenBank) putative glycosyltransferase,
PMI1210,3290.7102824969606,-1.11882397991925,3.3990379036476304e-07,,(GenBank) PadR-family transcriptional regulator,
PMI1428,415.67825319870906,-1.15604983907876,1.94156896799743e-06,hmuT,(GenBank) hemin-binding periplasmic protein,pmr02010  ABC transporters
PMI2497,139.946375046938,-1.15653943364244,2.02269494010082e-05,,(GenBank) putative membrane protein,
PMI2599,5807.5544573757,-1.15918435227872,2.0327707333528e-06,,(GenBank) putative non-ribosomal peptide synthase (putative siderophore synthase),pmr01053  Biosynthesis of siderophore group nonribosomal peptides
PMI1481,234.181904639737,-1.18782492158223,1.32443881921894e-05,,"(GenBank) ABC transporter, permease protein",pmr02024  Quorum sensing
PMI0229,151.945704232791,-1.22366607924946,3.8052555882910206e-05,,"(GenBank) ABC transporter, permease protein (FecCD transport family)",pmr02010  ABC transporters
PMI1991,17.5520444811272,-1.2310131368039599,0.00524585844570645,,(GenBank) phage capsid scaffolding protein,
PMI0414,5472.4961448749,-1.23821976383997,2.56099889233607e-07,nrdE,(GenBank) ribonucleoside-diphosphate reductase alpha chain,"pmr00230  Purine metabolism, pmr00240  Pyrimidine metabolism, pmr01100  Metabolic pathways"
PMI3252,408.692182199034,-1.2525463914480002,3.7026467674963796e-09,bfd,(GenBank) bacterioferritin-associated ferredoxin,
PMI1429,158.607245436184,-1.2627154953511999,1.80073933882442e-05,hmuU,(GenBank) hemin transport system permease protein HmuU,pmr02010  ABC transporters
PMI1430,269.937223321555,-1.26284271484408,4.3324924291094703e-07,hmuV,(GenBank) hemin transport system ATP-binding protein,pmr02010  ABC transporters
PMI2196,1383.71632916583,-1.27489976953657,2.17656821271023e-06,,(GenBank) putative membrane-associated CAAX amino terminal protease,
PMI1834,947.063288872399,-1.2858249573518201,3.69675445574394e-05,cysT,"(GenBank) sulfate/thiosulfate ABC transporter, permease protein","pmr00920  Sulfur metabolism, pmr02010  ABC transporters"
PMI1198,260.620213701095,-1.3141427989158703,1.4801572551991101e-05,ydgI,(GenBank) putative arginine/ornithine antiporter,
PMI2899,178.81631229965802,-1.3238072168643402,1.92433949097945e-05,,"(GenBank) putative amino acid ABC transporter, permease protein",
PMI1548,912.397184476474,-1.3801811516734601,1.0465165083129199e-11,,(GenBank) TonB-dependent receptor,
PMI3705,67.4751299541099,-1.3908230336958,8.922414559528359e-05,,(GenBank) putative ABC transporter ATP-binding protein,pmr02010  ABC transporters
PMI0409,4321.38492640664,-1.39437702263515,3.14642179244748e-12,,(GenBank) TonB-dependent receptor,
PMI0173,165.788656876616,-1.39710658234579,1.38460391146756e-06,,(GenBank) putative exported protein,
PMI0415,1150.51972799735,-1.42746179036929,1.89951648812867e-09,nrdI,(GenBank) NrdI protein,
PMI1550,409.325917328881,-1.4632946329743501,6.85657507517777e-10,,(GenBank) TonB-like protein,
PMI1840,3726.09588631947,-1.49235343106329,3.1219922498907397e-15,,(GenBank) putative lipoprotein,
PMI0416,383.74907026417395,-1.54104157239194,1.18228326633906e-09,nrdH,(GenBank) glutaredoxin-like protein,
PMI0172,433.454365199634,-1.55803317967072,2.42306722207792e-08,,(GenBank) putative Dyp-type peroxidase,
PMI0174,96.49389098312592,-1.5725727063628798,1.38460391146756e-06,,(GenBank) putative membrane protein,
PMI1426,1939.4263884667898,-1.6311089920355901,6.65827876070092e-08,hmuR2,(GenBank) hemin receptor,
PMI0176,219.784502356394,-1.85488049388164,2.23595997761995e-09,,(GenBank) putative exported protein,
PMI1425,1318.48071060735,-1.96621818121623,1.73049209717572e-11,hmuR1,(GenBank) hemin receptor,
PMI1551,375.196165531176,-2.0458466910029,1.15212038168315e-15,,(GenBank) putative lipoprotein,
PMI0175,143.983554375599,-2.1064286493263302,1.3646775769213602e-10,,(GenBank) putative exported protein,
